transaction_month,transaction_count,total_spend,average_transaction_amount,approval_rate_pct
2025-07-01,3765,488146.48,129.65,92.38
2025-08-01,4222,570442.28,135.11,92.54
2025-09-01,4128,540866.64,131.02,91.98
2025-10-01,4257,564439.06,132.59,91.64
2025-11-01,4013,545619.51,135.96,92.65
2025-12-01,4194,563258.17,134.3,91.82
2026-01-01,4206,536474.07,127.55,91.68
2026-02-01,3838,518209.04,135.02,92.03
2026-03-01,4179,504798.89,120.79,91.86
2026-04-01,4202,532323.56,126.68,92.29
2026-05-01,4404,606925.31,137.81,92.05
2026-06-01,4101,563589.16,137.43,92.44
2026-07-01,491,50813.65,103.49,92.06
