transaction_id,company_id,employee_id,merchant_id,transaction_timestamp,amount,transaction_status,decline_reason,is_international,merchant_country,is_fraud,fraud_type
1,16,345,188,2025-09-07 22:09:13.672950,360.79,declined,insufficient_funds,False,US,0,none
2,41,1917,139,2026-05-09 20:25:13.672950,136.89,approved,,False,US,0,none
3,36,45,143,2025-07-29 18:14:13.672950,31.61,approved,,True,GB,0,none
4,100,1670,108,2025-07-28 07:32:13.672950,473.22,approved,,True,GB,0,none
5,78,21,221,2025-09-12 20:14:13.672950,52.99,approved,,False,US,0,none
6,40,1658,145,2025-12-12 19:46:13.672950,22.93,approved,,False,US,0,none
7,38,1094,5,2025-12-23 00:50:13.672950,95.41,declined,suspected_fraud,True,GB,0,none
8,40,1888,56,2025-07-25 22:32:13.672950,156.8,declined,card_expired,False,US,0,none
9,67,873,255,2025-11-28 09:44:13.672950,61.36,approved,,False,US,0,none
10,71,48,222,2026-05-08 02:26:13.672950,78.79,approved,,False,US,0,none
11,62,1515,48,2025-12-14 03:16:13.672950,357.17,approved,,False,US,0,none
12,83,551,163,2026-05-29 17:17:13.672950,54.89,approved,,False,US,0,none
13,93,287,236,2026-01-25 04:32:13.672950,145.04,approved,,False,US,0,none
14,30,1002,248,2025-07-11 08:22:13.672950,218.89,approved,,False,US,0,none
15,51,1034,100,2025-10-30 21:02:13.672950,31.38,approved,,False,US,0,none
16,42,542,21,2026-05-10 08:31:13.672950,64.51,declined,insufficient_funds,False,US,0,none
17,30,756,102,2026-03-11 09:06:13.672950,292.8,approved,,False,US,0,none
18,47,274,5,2026-01-24 22:57:13.672950,204.49,approved,,True,GB,0,none
19,50,956,197,2025-10-27 20:00:13.672950,38.66,approved,,False,US,0,none
20,21,600,149,2025-12-10 09:40:13.672950,51.15,approved,,False,US,0,none
21,75,1780,211,2026-03-08 17:12:13.672950,1.81,approved,,False,US,0,none
22,86,381,160,2025-09-19 01:03:13.672950,199.31,approved,,False,US,0,none
23,53,1353,146,2025-09-12 03:39:13.672950,115.19,approved,,False,US,0,none
24,37,479,58,2026-04-09 06:30:13.672950,11.52,approved,,False,US,0,none
25,86,15,240,2025-09-15 01:02:13.672950,136.32,approved,,False,US,0,none
26,53,516,79,2026-03-25 00:25:13.672950,80.13,approved,,False,US,0,none
27,99,191,152,2026-03-14 01:51:13.672950,128.33,approved,,False,US,0,none
28,49,1192,5,2026-01-15 05:38:13.672950,119.09,approved,,True,GB,0,none
29,88,1545,181,2025-08-07 06:09:13.672950,55.81,approved,,False,US,0,none
